,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Legal Business Name,Provider Changed Ownership in Last 12 Months,Overall Rating,Health Inspection Rating,QM Rating,Long-Stay QM Rating,Short-Stay QM Rating,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
8833,TERRACE VIEW LONG TERM CARE FACILITY,BUFFALO,NY,14215,Erie,Government - County,390,ERIE COUNTY MEDICAL CENTER CORPORATION,N,3.0,2.0,5.0,4.0,5.0,1,14508.0,0,1,"462 GRIDER STREET,BUFFALO,NY,14215",01/03/2023
8834,ABSOLUT CTR FOR NURSING & REHAB THREE RIVERS L L C,PAINTED POST,NY,14870,Steuben,For profit - Corporation,120,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT THREE RIVERS, LLC",N,2.0,2.0,5.0,5.0,4.0,0,0.0,0,0,"101 CREEKSIDE DRIVE,PAINTED POST,NY,14870",01/03/2023
8835,MENORAH HOME & HOSPITAL FOR AGED & INFIRM,BROOKLYN,NY,11235,Kings,Non profit - Corporation,436,MENORAH HOME & HOSPITAL FOR THE AGED & INFIRM,N,3.0,3.0,4.0,4.0,5.0,1,650.0,0,1,"1516 ORIENTAL BLVD,BROOKLYN,NY,11235",01/03/2023
8836,MIDDLETOWN PARK REHAB & HEALTH CARE CENTER,MIDDLETOWN,NY,10940,Orange,For profit - Limited Liability company,230,PARK MANOR ACQUISITION II LLC,N,5.0,5.0,5.0,5.0,4.0,0,0.0,0,0,"121 DUNNING ROAD,MIDDLETOWN,NY,10940",01/03/2023
8837,HAYM SOLOMON HOME FOR THE AGED,BROOKLYN,NY,11214,Kings,For profit - Partnership,240,"HAYM SALOMON HOME FOR THE AGED, LLC",N,2.0,2.0,4.0,5.0,3.0,1,655.08,0,1,"2340 CROPSEY AVENUE,BROOKLYN,NY,11214",01/03/2023
8838,CAMPBELL HALL REHABILITATION CENTER INC,CAMPBELL HALL,NY,10916,Orange,For profit - Corporation,134,"CAMPBELL HALL REHABILITATION CENTER, INC.",N,1.0,1.0,2.0,1.0,3.0,25,159632.2,0,25,"23 KIERNAN RD,CAMPBELL HALL,NY,10916",01/03/2023
8839,GROTON COMMUNITY HEALTH CARE CTR RES CARE FAC,GROTON,NY,13073,Tompkins,Non profit - Corporation,80,GROTON COMMUNITY HEALTH CARE CENTER INC,N,2.0,3.0,4.0,2.0,5.0,3,2932.8,0,3,"120 SYKES STREET,GROTON,NY,13073",01/03/2023
8840,FORDHAM NURSING AND REHABILITATION CENTER,BRONX,NY,10463,Bronx,For profit - Limited Liability company,240,TERRACE ACQUISITION II LLC,N,2.0,1.0,5.0,4.0,5.0,2,59765.0,0,2,"2678 KINGSBRIDGE TERRACE,BRONX,NY,10463",01/03/2023
8841,WELLSVILLE MANOR CARE CENTER,WELLSVILLE,NY,14895,Allegany,For profit - Corporation,120,WELLSVILLE MANOR LLC,N,5.0,5.0,4.0,5.0,2.0,0,0.0,0,0,"4192A BOLIVAR ROAD,WELLSVILLE,NY,14895",01/03/2023
8842,AUTUMN VIEW HEALTH CARE FACILITY L L C,HAMBURG,NY,14075,Erie,For profit - Corporation,230,AUTUMN VIEW HEALTH CARE FACILITY LLC,N,4.0,4.0,5.0,5.0,5.0,1,650.0,0,1,"S 4650 SOUTHWESTERN BLVD,HAMBURG,NY,14075",01/03/2023
8843,"SAFIRE REHABILITATION OF SOUTHTOWN, L L C",BUFFALO,NY,14220,Erie,For profit - Individual,120,SAFIRE REHABILITATION OF SOUTHTOWNS LLC,N,1.0,1.0,4.0,4.0,3.0,4,9248.2,0,4,"300 DORRANCE AVENUE,BUFFALO,NY,14220",01/03/2023
8844,TERENCE CARDINAL COOKE HEALTH CARE CENTER,NEW YORK,NY,10029,New York,Non profit - Church related,679,TERENCE CARDINAL COOKE HEALTH CARE CENTER,N,3.0,2.0,5.0,5.0,5.0,3,35000.0,0,3,"1249 FIFTH AVENUE,NEW YORK,NY,10029",01/03/2023
8845,BEZALEL REHABILITATION AND NURSING CENTER,FAR ROCKAWAY,NY,11691,Queens,Non profit - Corporation,120,BEZALEL NURSING HOME COMPANY,N,1.0,1.0,4.0,4.0,3.0,1,10000.0,0,1,"29 38 FAR ROCKAWAY BLVD,FAR ROCKAWAY,NY,11691",01/03/2023
8846,SUNSHINE CHILDREN'S HOME AND REHAB CENTER,OSSINING,NY,10562,Westchester,For profit - Partnership,54,MSAF GROUP LLC,N,5.0,5.0,5.0,5.0,,1,650.0,0,1,"15 SPRING VALLEY ROAD,OSSINING,NY,10562",01/03/2023
8847,KIRKHAVEN,ROCHESTER,NY,14607,Monroe,Non profit - Church related,147,GENESEE VALLEY PRESBYTERIAN NURSING CENTER,N,2.0,2.0,4.0,3.0,4.0,1,657.8,0,1,"254 ALEXANDER STREET,ROCHESTER,NY,14607",01/03/2023
8848,DEGRAFF MEMORIAL HOSPITAL-SKILLED NURSING FACILITY,NORTH TONAWANDA,NY,14120,Niagara,Non profit - Corporation,80,KALEIDA HEALTH,N,4.0,3.0,5.0,5.0,5.0,3,2945.68,0,3,"445 TREMONT STREET,NORTH TONAWANDA,NY,14120",01/03/2023
8849,VALLEY HEALTH SERVICES INC,HERKIMER,NY,13350,Herkimer,Non profit - Corporation,160,VALLEY HEALTH SERVICES INC,N,2.0,3.0,2.0,2.0,3.0,1,7345.0,0,1,"690 WEST GERMAN STREET,HERKIMER,NY,13350",01/03/2023
8850,FOUR SEASONS NURSING AND REHABILITATION CENTER,BROOKLYN,NY,11236,Kings,For profit - Limited Liability company,270,FSNR SNF LLC,N,2.0,2.0,3.0,5.0,2.0,4,4580.51,0,4,"1555 ROCKAWAY PARKWAY,BROOKLYN,NY,11236",01/03/2023
8851,THE HAMLET REHABILITATION AND HEALTHCARE CENTER AT,NESCONSET,NY,11767,Suffolk,For profit - Corporation,240,NESCONSET OPERATING LLC,N,4.0,3.0,5.0,5.0,5.0,0,0.0,0,0,"100 SOUTHERN BOULEVARD,NESCONSET,NY,11767",01/03/2023
8852,JAMES G JOHNSTON MEMORIAL NURSING HOME,JOHNSON CITY,NY,13790,Broome,Non profit - Corporation,122,UMH JGJ CORP,N,5.0,4.0,5.0,4.0,5.0,0,0.0,0,0,"285 DEYO HILL ROAD,JOHNSON CITY,NY,13790",01/03/2023
8853,"HAVEN MANOR HEALTH CARE CENTER, L L C",FAR ROCKAWAY,NY,11691,Queens,For profit - Partnership,240,HAVEN MANOR HEALTH CARE CENTER LLC,N,2.0,2.0,4.0,4.0,,4,9438.0,0,4,"1441 GATEWAY BOULEVARD,FAR ROCKAWAY,NY,11691",01/03/2023
8854,SHEEPSHEAD NURSING & REHABILITATION CENTER,BROOKLYN,NY,11235,Kings,For profit - Limited Liability company,200,SHEEPSHEAD NURSING AND REHABILITATION CENTER LLC,N,2.0,2.0,3.0,4.0,3.0,1,20780.0,0,1,"2840 KNAPP ST,BROOKLYN,NY,11235",01/03/2023
8855,ELDERWOOD AT LIVERPOOL,LIVERPOOL,NY,13088,Onondaga,For profit - Limited Liability company,160,"4800 BEAR ROAD OPERATING COMPANY, LLC",N,4.0,4.0,4.0,3.0,4.0,1,650.0,0,1,"4800 BEAR ROAD,LIVERPOOL,NY,13088",01/03/2023
8856,ELDERWOOD AT HAMBURG,HAMBURG,NY,14075,Erie,For profit - Limited Liability company,166,5775 MAELOU DRIVE OPERATING COMPANY LLC,N,2.0,3.0,4.0,4.0,4.0,2,6395.35,0,2,"5775 MAELOU DRIVE,HAMBURG,NY,14075",01/03/2023
8857,EDDY MEMORIAL GERIATRIC CENTER,TROY,NY,12180,Rensselaer,Non profit - Corporation,80,"THE JAMES A EDDY MEMORIAL GERIATRIC CENTER, INC",N,1.0,2.0,4.0,4.0,,1,650.0,0,1,"2256 BURDETT AVENUE,TROY,NY,12180",01/03/2023
8858,EAST NECK NURSING & REHABILITATION CENTER,WEST BABYLON,NY,11704,Suffolk,For profit - Limited Liability company,300,PALJR LLC,N,3.0,3.0,4.0,4.0,4.0,1,650.0,0,1,"134 GREAT EAST NECK ROAD,WEST BABYLON,NY,11704",01/03/2023
8859,BEACH GARDENS REHAB AND NURSING CENTER,FAR ROCKAWAY,NY,11691,Queens,For profit - Individual,163,HENDON GARDEN CENTER LLC,N,2.0,3.0,4.0,5.0,2.0,1,5000.0,0,1,"17 11 BROOKHAVEN AVENUE,FAR ROCKAWAY,NY,11691",01/03/2023
8860,ABSOLUT CTR FOR NURSING & REHAB WESTFIELD L L C,WESTFIELD,NY,14787,Chautauqua,For profit - Limited Liability company,120,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT WESTFIELD, LLC",N,3.0,2.0,5.0,4.0,5.0,1,655.08,0,1,"26 CASS STREET,WESTFIELD,NY,14787",01/03/2023
8861,SAPPHIRE NURSING AND REHAB AT GOSHEN,GOSHEN,NY,10924,Orange,For profit - Limited Liability company,120,GOSHEN OPERATIONS LLC,N,1.0,2.0,4.0,5.0,4.0,0,0.0,0,0,"46 HARRIMAN DRIVE,GOSHEN,NY,10924",01/03/2023
8862,PALATINE NURSING HOME,PALATINE BRIDGE,NY,13428,Montgomery,For profit - Limited Liability company,70,"COSDEN, LLC",N,1.0,2.0,3.0,4.0,3.0,2,1625.0,0,2,"154  LAFAYETTE STREET,PALATINE BRIDGE,NY,13428",01/03/2023
8863,SALEM HILLS REHABILITATION AND NURSING CENTER,PURDYS,NY,10578,Westchester,For profit - Partnership,126,SALEM ACQUISITION I LLC,N,5.0,4.0,5.0,5.0,3.0,0,0.0,0,0,"539 ROUTE 22,PURDYS,NY,10578",01/03/2023
8864,WHITE OAKS REHABILITATION AND NURSING CENTER,WOODBURY,NY,11797,Nassau,For profit - Individual,200,WHITE OAKS REHABILITATION AND NURSING CENTER,N,3.0,3.0,4.0,3.0,5.0,0,0.0,0,0,"8565 JERICHO TURNPIKE,WOODBURY,NY,11797",01/03/2023
8865,ELDERWOOD AT HORNELL,HORNELL,NY,14843,Steuben,For profit - Partnership,122,1 BETHESDA DRIVE OPERATING COMPANY LLC,N,3.0,4.0,3.0,2.0,3.0,1,650.0,0,1,"ONE BETHESDA DRIVE,HORNELL,NY,14843",01/03/2023
8866,ST JOSEPHS PLACE,PORT JERVIS,NY,12771,Orange,Non profit - Corporation,46,BON SECOURS COMMUNITY HOSPITAL,N,5.0,5.0,5.0,5.0,5.0,0,0.0,0,0,"160 EAST MAIN STREET,PORT JERVIS,NY,12771",01/03/2023
8867,ROSEWOOD REHABILITATION AND NURSING CENTER,RENSSELAER,NY,12144,Rensselaer,For profit - Limited Liability company,80,"ROSEWOOD CARE, LLC",N,1.0,1.0,4.0,2.0,5.0,12,52114.63,0,12,"284 TROY ROAD,RENSSELAER,NY,12144",01/03/2023
8868,BROOKHAVEN HEALTH CARE FACILITY L L C,EAST PATCHOGUE,NY,11772,Suffolk,For profit - Corporation,160,BROOKHAVEN HEALTH CARE FACILITY LLC,N,4.0,4.0,4.0,5.0,4.0,2,1625.0,0,2,"801 GAZZOLA BLVD,EAST PATCHOGUE,NY,11772",01/03/2023
8869,MANHATTANVILLE HEALTH CARE CENTER,BRONX,NY,10463,Bronx,For profit - Corporation,200,MANHATTANVILLE SBV LLC,N,4.0,4.0,4.0,5.0,4.0,0,0.0,0,0,"311 W 231ST STREET,BRONX,NY,10463",01/03/2023
8870,GURWIN JEWISH NURSING AND REHABILITATION CENTER,COMMACK,NY,11725,Suffolk,Non profit - Corporation,460,THE ROSALIND AND JOSEPH GURWIN JEWISH GERIATRIC CENTER OF LONG ISLAND,N,3.0,2.0,5.0,5.0,5.0,1,7900.75,0,1,"68 HAUPPAUGE ROAD,COMMACK,NY,11725",01/03/2023
8871,EDDY VILLAGE GREEN,COHOES,NY,12047,Albany,Non profit - Corporation,192,"CAPITAL REGION GERIATRIC CENTER, INC.",N,4.0,2.0,5.0,5.0,,1,7432.75,0,1,"421 W COLUMBIA STREET,COHOES,NY,12047",01/03/2023
8872,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,VALLEY STREAM,NY,11580,Nassau,Non profit - Corporation,120,LONG ISLAND JEWISH MEDICAL CENTER,N,5.0,4.0,4.0,4.0,4.0,1,655.01,0,1,"900 FRANKLIN AVENUE,VALLEY STREAM,NY,11580",01/03/2023
8873,PATHWAYS NURSING AND REHABILITATION CENTER,NISKAYUNA,NY,12309,Schenectady,For profit - Individual,112,NISKAYUNA OPERATING CO LLC,N,4.0,3.0,5.0,5.0,,2,11950.0,0,2,"1805 PROVIDENCE AVENUE,NISKAYUNA,NY,12309",01/03/2023
8874,NORTHWELL HEALTH STERN FAMILY CENTER FOR REHAB,MANHASSET,NY,11030,Nassau,Non profit - Corporation,256,NORTHWELL HEALTH STERN FAMILY CENTER FOR REHABILITATION,N,5.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"300 COMMUNITY DRIVE,MANHASSET,NY,11030",01/03/2023
8875,BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,BROOKLYN,NY,11207,Kings,For profit - Corporation,225,WARTBURG RECEIVER LLC,N,2.0,2.0,5.0,5.0,4.0,0,0.0,0,0,"50 SHEFFIELD AVENUE,BROOKLYN,NY,11207",01/03/2023
8876,ST JOHNSVILLE REHABILITATION AND NURSING CENTER,SAINT JOHNSVILLE,NY,13452,Montgomery,For profit - Corporation,120,ST JOHNSVILLE REHABILITATION AND NURSING CENTER INC,N,1.0,1.0,4.0,3.0,5.0,7,18662.78,0,7,"7 TIMMERMAN AVENUE,SAINT JOHNSVILLE,NY,13452",01/03/2023
8877,ELLIS RESIDENTIAL & REHABILITATION CENTER,SCHENECTADY,NY,12304,Schenectady,Non profit - Corporation,82,ELLIS HOSPITAL,N,3.0,3.0,4.0,5.0,4.0,2,3122.75,0,2,"600 MCCLELLAN STREET,SCHENECTADY,NY,12304",01/03/2023
8878,IRA DAVENPORT MEMORIAL HOSPITAL S N F/ H R F,BATH,NY,14810,Steuben,For profit - Corporation,120,IRA DAVENPORT MEMORIAL HOSPITAL INC,N,2.0,2.0,4.0,3.0,5.0,2,125570.16,0,2,"7571 STATE ROUTE 54,BATH,NY,14810",01/03/2023
8879,HAMILTON PARK NURSING AND REHABILITATION CENTER,BROOKLYN,NY,11228,Kings,For profit - Partnership,200,HAMILTON PARK MULTICARE,N,4.0,3.0,5.0,5.0,5.0,0,0.0,0,0,"691 92ND STREET,BROOKLYN,NY,11228",01/03/2023
8880,SLATE VALLEY CENTER FOR REHABILITATION AND NURSING,GRANVILLE,NY,12832,Washington,For profit - Corporation,88,CLR GRANVILLE LLC,N,2.0,3.0,2.0,2.0,2.0,0,0.0,0,0,"10421 STATE ROUTE 40,GRANVILLE,NY,12832",01/03/2023
8881,SYRACUSE HOME ASSOCIATION,BALDWINSVILLE,NY,13027,Onondaga,Non profit - Corporation,120,SYRACUSE HOME ASSOCIATION,N,5.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"7740 MEIGS ROAD,BALDWINSVILLE,NY,13027",01/03/2023
8882,GLEN COVE CENTER FOR NURSING AND REHABILITATION,GLEN COVE,NY,11542,Nassau,For profit - Individual,154,FOREST MANOR CARE CENTER INC,N,5.0,4.0,5.0,5.0,5.0,1,650.0,0,1,"6 MEDICAL PLAZA,GLEN COVE,NY,11542",01/03/2023
8883,THE FIVE TOWNS PREMIER REHAB & NURSING CENTER,WOODMERE,NY,11598,Nassau,For profit - Corporation,336,WOODMERE REHABILITATION AND HEALTH CARE CENTER INC,N,5.0,4.0,5.0,5.0,5.0,1,3250.0,0,1,"1050 CENTRAL AVENUE,WOODMERE,NY,11598",01/03/2023
8884,QUANTUM REHABILITATION AND NURSING L L C,MIDDLE ISLAND,NY,11953,Suffolk,For profit - Limited Liability company,120,QUANTUM REHABILITATION AND NURSING LLC,N,3.0,2.0,5.0,5.0,5.0,3,51890.51,0,3,"63 OAKCREST AVENUE,MIDDLE ISLAND,NY,11953",01/03/2023
8885,ATRIUM CENTER FOR REHABILITATION AND NURSING,BROOKLYN,NY,11236,Kings,For profit - Corporation,380,RIVER MANOR CORP.,N,5.0,5.0,5.0,5.0,5.0,0,0.0,0,0,"630 E 104TH STREET,BROOKLYN,NY,11236",01/03/2023
8886,HERITAGE GREEN REHAB & SKILLED NURSING,GREENHURST,NY,14742,Chautauqua,Non profit - Corporation,134,GERRY HOMES INC,N,1.0,1.0,4.0,4.0,4.0,11,32355.94,0,11,"3023 ROUTE 430,GREENHURST,NY,14742",01/03/2023
8887,EAST HAVEN NURSING & REHABILITATION CENTER,BRONX,NY,10469,Bronx,For profit - Corporation,200,EAST HAVEN NURSING AND REHABILITATION CENTER,N,2.0,2.0,4.0,4.0,4.0,1,655.01,0,1,"2323  EASTCHESTER ROAD,BRONX,NY,10469",01/03/2023
8888,SILVERCREST,JAMAICA,NY,11435,Queens,Non profit - Corporation,320,THE SILVERCREST CENTER FOR NURSING AND REHABILITATION,N,3.0,2.0,5.0,5.0,5.0,2,14162.14,0,2,"144 45 87TH AVENUE,JAMAICA,NY,11435",01/03/2023
8889,HOPE CENTER FOR H I V AND NURSING CARE,BRONX,NY,10452,Bronx,For profit - Partnership,66,HOPE CENTER OPERATIONS LLC,N,4.0,3.0,5.0,5.0,,0,0.0,0,0,"1401 UNIVERSITY AVENUE,BRONX,NY,10452",01/03/2023
8890,BEACON REHABILITATION AND NURSING CENTER,ROCKAWAY PARK,NY,11694,Queens,For profit - Limited Liability company,120,"OPOP, LLC",N,4.0,4.0,3.0,4.0,3.0,1,655.1,1,2,"140 BEACH 113TH STREET,ROCKAWAY PARK,NY,11694",01/03/2023
8891,"BETSY ROSS REHABILITATION CENTER, INC",ROME,NY,13440,Oneida,For profit - Corporation,120,BETSY ROSS REHABILITATION CENTER,N,1.0,1.0,2.0,2.0,3.0,16,54908.03,0,16,"1 ELSIE STREET,ROME,NY,13440",01/03/2023
8892,ST ANNS COMMUNITY,WEBSTER,NY,14580,Monroe,Non profit - Corporation,72,"ST ANNS NURSING HOME COMPANY, INC",N,3.0,4.0,4.0,4.0,,2,1632.51,0,2,"920 CHERRY RIDGE BLVD,WEBSTER,NY,14580",01/03/2023
8893,BETHANY GARDENS SKILLED LIVING CENTER,ROME,NY,13440,Oneida,For profit - Limited Liability company,100,BETHANY OPERATING CO LLC,N,4.0,4.0,4.0,5.0,3.0,1,650.0,0,1,"800 WEST CHESTNUT STREET,ROME,NY,13440",01/03/2023
8894,"FRIEDWALD CENTER FOR REHAB AND NURSING, L L C",NEW CITY,NY,10956,Rockland,For profit - Individual,180,"FRIEDWALD CENTER FOR REHABILITATION AND NURSING, LLC",N,4.0,3.0,5.0,5.0,5.0,0,0.0,0,0,"475 NEW HEMPSTEAD ROAD,NEW CITY,NY,10956",01/03/2023
8895,DELMAR CENTER FOR REHABILITATION AND NURSING,DELMAR,NY,12054,Albany,For profit - Corporation,120,GOOD SAMARITAN LUTHERAN HEALTH CARE CENTER INC,N,2.0,1.0,5.0,5.0,4.0,1,9750.0,0,1,"125 ROCKEFELLER ROAD,DELMAR,NY,12054",01/03/2023
8896,"WEST LAWRENCE CARE CENTER, L L C",FAR ROCKAWAY,NY,11691,Queens,For profit - Limited Liability company,215,WEST LAWRENCE CARE CENTER LLC,N,3.0,4.0,4.0,4.0,5.0,12,68132.97,0,12,"1410 SEAGIRT BLVD,FAR ROCKAWAY,NY,11691",01/03/2023
8897,OCEAN GARDENS CARE CENTER,ARVERNE,NY,11692,Queens,For profit - Corporation,280,"OCEAN GARDENS NURSING FACILITY, INC.",N,1.0,1.0,4.0,4.0,,2,7155.08,0,2,"64 11 BEACH CHANNEL DRIVE,ARVERNE,NY,11692",01/03/2023
8898,LUXOR NURSING AND REHABILITATION AT MILLS POND,ST JAMES,NY,11780,Suffolk,For profit - Limited Liability company,252,S&J OPERATIONAL LLC,N,4.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"273 MORICHES ROAD,ST JAMES,NY,11780",01/03/2023
8899,NIAGARA REHABILITATION AND NURSING CENTER,NIAGARA FALLS,NY,14301,Niagara,For profit - Corporation,160,"AMERIFALLS, LLC",N,1.0,2.0,4.0,5.0,3.0,1,650.0,0,1,"822 CEDAR AVENUE,NIAGARA FALLS,NY,14301",01/03/2023
8900,GRAND MANOR NURSING & REHABILITATION CENTER,BRONX,NY,10473,Bronx,For profit - Corporation,240,GRAND MANOR HEALTH RELATED FACILITY INC,N,1.0,1.0,3.0,5.0,1.0,5,181435.7,0,5,"700 WHITE PLAINS ROAD,BRONX,NY,10473",01/03/2023
8901,ST LUKE RESIDENTIAL HEALTH CARE FACILITY INC,OSWEGO,NY,13126,Oswego,Non profit - Corporation,200,"ST. LUKE RESIDENTIAL HEALTH CARE FACILITY, INC.",N,2.0,2.0,4.0,2.0,5.0,2,1636.7,0,2,"299 EAST RIVER ROAD,OSWEGO,NY,13126",01/03/2023
8902,"ROCKVILLE SKILLED NURSING & REHAB CENTER, L L C",ROCKVILLE CENTRE,NY,11570,Nassau,For profit - Limited Liability company,66,ROCKVILLE SKILLED NURSING & REHABILITATION CENTER LLC,N,5.0,4.0,5.0,5.0,4.0,0,0.0,0,0,"50 MAINE AVENUE,ROCKVILLE CENTRE,NY,11570",01/03/2023
8903,SAINTS JOACHIM & ANNE NURSING AND REHAB CENTER,BROOKLYN,NY,11224,Kings,Non profit - Other,200,SAINT JOACHIM & ANNE NURSING AND REHABILITATION CENTER,N,4.0,5.0,4.0,4.0,3.0,0,0.0,0,0,"2720 SURF AVENUE,BROOKLYN,NY,11224",01/03/2023
8904,FISHKILL CENTER FOR REHABILITATION AND NURSING,BEACON,NY,12508,Dutchess,For profit - Corporation,160,YERTLE OPERATIONS LLC,N,2.0,1.0,5.0,4.0,5.0,2,1636.7,0,2,"22 ROBERT R. KASIN WAY,BEACON,NY,12508",01/03/2023
8905,HIGHBRIDGE WOODYCREST CENTER,BRONX,NY,10452,Bronx,For profit - Corporation,90,YGC AT WOODYCREST LLC,N,5.0,4.0,5.0,5.0,,0,0.0,0,0,"936 WOODYCREST AVENUE,BRONX,NY,10452",01/03/2023
8906,ELDERWOOD AT CHEEKTOWAGA,CHEEKTOWAGA,NY,14227,Erie,For profit - Partnership,172,"225 BENNETT ROAD OPERATING COMPANY, LLC",N,3.0,3.0,2.0,2.0,2.0,0,0.0,0,0,"225 BENNETT ROAD,CHEEKTOWAGA,NY,14227",01/03/2023
8907,BRONXCARE SPECIAL CARE CENTER,BRONX,NY,10456,Bronx,Non profit - Corporation,240,BRONXCARE SPECIAL CARE CENTER,N,4.0,4.0,4.0,3.0,5.0,0,0.0,0,0,"1265 FULTON AVENUE,BRONX,NY,10456",01/03/2023
8908,BELLHAVEN CENTER FOR REHAB AND NURSING CARE,BROOKHAVEN,NY,11719,Suffolk,For profit - Partnership,240,BELLHAVEN MANAGEMENT LLC,N,3.0,3.0,3.0,5.0,2.0,11,26158.43,0,11,"110 BEAVER DAM ROAD,BROOKHAVEN,NY,11719",01/03/2023
8909,SMITHTOWN CENTER FOR REHABILITATION & NURSING CARE,SMITHTOWN,NY,11787,Suffolk,For profit - Corporation,162,SMITHTOWN HEALTH CARE MANAGEMENT,N,4.0,4.0,4.0,5.0,4.0,0,0.0,0,0,"391 NORTH COUNTRY ROAD,SMITHTOWN,NY,11787",01/03/2023
8910,"HARRIS HILL NURSING FACILITY, L L C",WILLIAMSVILLE,NY,14221,Erie,For profit - Individual,192,HARRIS HILL NURSING FACILITY LLC,N,5.0,4.0,5.0,4.0,5.0,0,0.0,0,0,"2699 WEHRLE DRIVE,WILLIAMSVILLE,NY,14221",01/03/2023
8911,LONG ISLAND STATE VETERANS HOME,STONYBROOK,NY,11790,Suffolk,Government - State,350,STATE OF NEW YORK COMPTROLLERS OFFICE,N,2.0,2.0,3.0,5.0,2.0,2,12345.0,0,2,"100 PATRIOTS ROAD,STONYBROOK,NY,11790",01/03/2023
8912,NORWICH REHABILITATION & NURSING CENTER,NORWICH,NY,13815,Chenango,For profit - Corporation,80,NORWICH OPERATING CO LLC,N,3.0,4.0,2.0,3.0,1.0,11,26434.56,0,11,"88 CALVARY DRIVE,NORWICH,NY,13815",01/03/2023
8913,EDDY HERITAGE HOUSE NURSING AND REHABILITATION CTR,TROY,NY,12180,Rensselaer,Non profit - Corporation,122,"HERITAGE HOUSE NURSING CENTER, INC",N,2.0,2.0,4.0,3.0,4.0,2,3900.0,0,2,"2920 TIBBITS AVENUE,TROY,NY,12180",01/03/2023
8914,LUXOR NURSING AND REHABILITATION AT SAYVILLE,SAYVILLE,NY,11782,Suffolk,For profit - Corporation,180,L&A OPERATIONAL LLC,N,5.0,4.0,5.0,4.0,5.0,0,0.0,0,0,"300 BROADWAY AVENUE,SAYVILLE,NY,11782",01/03/2023
8915,ST MARYS CENTER INC,NEW YORK,NY,10027,New York,Non profit - Corporation,40,ST. MARYS CENTER INC,N,5.0,4.0,4.0,4.0,,1,655.14,0,1,"516 WEST 126TH STREET,NEW YORK,NY,10027",01/03/2023
8916,ST VINCENT DEPAUL RESIDENCE,BRONX,NY,10459,Bronx,Non profit - Corporation,200,ST VINCENT DE PAUL RESIDENCE,N,3.0,2.0,5.0,5.0,4.0,1,21030.0,0,1,"900 INTERVALE AVENUE,BRONX,NY,10459",01/03/2023
8917,IROQUOIS NURSING HOME INC,JAMESVILLE,NY,13078,Onondaga,Non profit - Corporation,160,"IROQUOIS NURSING HOME, INC",N,2.0,1.0,5.0,5.0,4.0,2,63348.5,0,2,"4600 SOUTHWOOD HEIGHTS DRIVE,JAMESVILLE,NY,13078",01/03/2023
8918,TEN BROECK COMMONS,LAKE KATRINE,NY,12449,Ulster,For profit - Limited Liability company,258,KINGSTON NH OPERATION LLC,N,3.0,3.0,5.0,5.0,5.0,0,0.0,0,0,"ONE COMMONS DRIVE,LAKE KATRINE,NY,12449",01/03/2023
8919,GHENT REHABILITATION & NURSING CENTER,GHENT,NY,12075,Columbia,For profit - Corporation,120,GRNC OPERATING LLC,N,1.0,1.0,2.0,2.0,2.0,11,92766.67,0,11,"1 WHITTIER WAY,GHENT,NY,12075",01/03/2023
8920,OUR LADY OF MERCY LIFE CENTER,GUILDERLAND,NY,12084,Albany,Non profit - Corporation,160,OUR LADY OF MERCY LIFE CENTER,N,2.0,2.0,3.0,3.0,3.0,2,1625.0,0,2,"2 MERCYCARE LANE,GUILDERLAND,NY,12084",01/03/2023
8921,GUTHRIE CORTLAND MEDICAL CENTER,CORTLAND,NY,13045,Cortland,Non profit - Corporation,80,GUTHRIE CORTLAND MEDICAL CENTER,N,4.0,4.0,3.0,3.0,2.0,2,1632.61,0,2,"134 HOMER AVENUE,CORTLAND,NY,13045",01/03/2023
8922,EDNA TINA WILSON LIVING CENTER,ROCHESTER,NY,14612,Monroe,Non profit - Corporation,120,NORTH PARK NURSING HOME INC,N,3.0,2.0,5.0,4.0,5.0,0,0.0,0,0,"700 ISLAND COTTAGE ROAD,ROCHESTER,NY,14612",01/03/2023
8923,N Y S VETERANS HOME IN N Y C,JAMAICA,NY,11434,Queens,Government - State,250,STATE OF NEW YORK COMPTROLLERS OFFICE,N,5.0,5.0,5.0,5.0,5.0,0,0.0,0,0,"178 50 LINDEN BLVD,JAMAICA,NY,11434",01/03/2023
8924,THROGS NECK EXTENDED CARE FACILITY,BRONX,NY,10465,Bronx,For profit - Corporation,205,THROGS NECK OPERATING CO LLC,N,3.0,3.0,5.0,5.0,5.0,1,3250.0,0,1,"707 THROGGS NECK EXPRESSWAY,BRONX,NY,10465",01/03/2023
